Country,o,c,e,a,n,Count,o_std,c_std,e_std,a_std,n_std
Afghanistan,0.7277199074074074,0.609375,0.5008680555555556,0.6315104166666666,0.5227141203703703,148,0.14945455693711301,0.18725702983184697,0.18514407950773815,0.15280474692651094,0.18198662363559098
Albania,0.7702293094359515,0.5789294500087858,0.5028224389386751,0.6130293445791601,0.5632577754348972,1938,0.14796466996151125,0.1848825909053164,0.20865952311784422,0.16797576111795964,0.19943556848204533
Algeria,0.7857269503546099,0.4860871010638298,0.41933732269503543,0.6002770390070922,0.5992298315602836,3816,0.13960353874648837,0.19293488393717576,0.20921716941223623,0.17211264798750836,0.18533615306207166
Andorra,0.7684748427672956,0.5672169811320755,0.5404874213836478,0.6132075471698113,0.5275157232704403,54,0.16448189310182915,0.20735513577990036,0.2169844460756017,0.1615557209373468,0.2318380713080868
Angola,0.7334983498349834,0.5625,0.4482260726072608,0.621493399339934,0.5177392739273927,109,0.1344457769574566,0.17312988861930612,0.18698108428418103,0.18056790492590022,0.2178729668303701
Antigua and Barbuda,0.7467391304347826,0.5521739130434783,0.4721014492753623,0.6728260869565217,0.5170289855072464,115,0.14152984299195312,0.16928170316074362,0.21302979330163768,0.1528684750317422,0.2194508511103462
Argentina,0.7639449446341716,0.5145809617441098,0.4571734106040222,0.5969160716133706,0.5814597778467694,9907,0.1497702047349527,0.197186766900313,0.22155121544891304,0.17038252379191385,0.20299436613085534
Armenia,0.7768727836879433,0.5536070478723404,0.5184230939716312,0.578873005319149,0.5526374113475178,758,0.15109592496888788,0.1977212566312416,0.21098640095475407,0.1760896780896153,0.2008755422150575
Aruba,0.7441666666666666,0.5563095238095238,0.4741666666666667,0.6973809523809524,0.5427380952380952,182,0.15942480221303118,0.1702100917215134,0.22036565818609435,0.16849478037735607,0.21272043365755217
Australia,0.7284330335105427,0.5547040103004369,0.5240424096835027,0.6501142818470721,0.5492243677674576,148710,0.16840906917441498,0.19301475565327086,0.22139535750191094,0.16458584870039236,0.21151764983424087
Austria,0.7694067157140163,0.5411213686096963,0.5112803008866251,0.6084877853235239,0.5472404970760234,7213,0.152506048063745,0.20464552357677154,0.23468736441321258,0.17200720492686913,0.21990820049631515
Azerbaijan,0.7600169300225733,0.5305916102332581,0.49910647103085026,0.576772949586155,0.5596077878103838,894,0.13652743020469693,0.2007184296185591,0.21664942959280326,0.16129700925506874,0.19608025811295185
Bahamas,0.7652502067824648,0.5636373035566584,0.48082092638544255,0.6912220843672456,0.521712158808933,412,0.14580763022706886,0.19375506813951512,0.21813454608095317,0.15508004661179026,0.20396615360635142
Bahrain,0.7325397980974567,0.5592482042321879,0.5069039992234518,0.6651257037468452,0.5568700252378179,1746,0.15524312086205821,0.1946872154835663,0.20939320893970745,0.15831212277070347,0.19564651683675707
Bangladesh,0.7611684972105998,0.5413434158530916,0.45600156903765693,0.6498721524872152,0.5850149639702464,5930,0.14877150031493871,0.20605988897800398,0.21591201884400124,0.16068635970131423,0.18646519061128577
Barbados,0.7621845082680593,0.5490644038294169,0.46050913838120106,0.675805047867711,0.54161227154047,402,0.15042400626777208,0.17984073669944675,0.21924371498991108,0.15753474181419877,0.22834961983859023
Belarus,0.7497538489079842,0.4923245614035088,0.47999462943071963,0.5504162191192267,0.5637978875760831,949,0.151072168209672,0.19646839896722182,0.21196380796047337,0.1741525451515837,0.19516442168119824
Belgium,0.7457954330111806,0.5186895963615691,0.4974377803044659,0.6277517213062977,0.5433524414124187,10855,0.15415090525351494,0.20010215441434018,0.2263959032244304,0.1645552362114043,0.21556578171144986
Belize,0.7350363756613756,0.5714285714285714,0.46792328042328046,0.6724537037037037,0.5445601851851851,263,0.14925549819069986,0.17659913631855656,0.2155321776177857,0.1757099778007942,0.2116115701783415
Bermuda,0.7619598765432098,0.5910493827160493,0.5246913580246914,0.658179012345679,0.5343364197530864,165,0.15270178563668016,0.18540916263121493,0.22308321817180765,0.14361773695124289,0.1931930208266928
Bhutan,0.7087684943429068,0.5357919930374239,0.47922106179286333,0.6538294168842471,0.5876849434290687,386,0.1359874068726517,0.17836846863925906,0.19140125682525078,0.1328888771270421,0.17269084497256032
Bolivia,0.7399037129398726,0.5343585480742589,0.4773482959268495,0.6034220005541701,0.5638681075090053,1244,0.14657237060070638,0.18403815509964414,0.2024596955469213,0.15916349489380327,0.19230476053430476
Bosnia and Herzegovina,0.775534899494389,0.5302056357134048,0.4795135035146134,0.5965208410408188,0.5651051301023554,2808,0.1500442519601321,0.20651382757037678,0.229217917451889,0.18528689540879772,0.2096100063280575
Botswana,0.7331018518518518,0.5244984567901235,0.4551311728395062,0.6717206790123457,0.5588348765432098,550,0.16539776059275355,0.19739425291007476,0.2208883918142461,0.16097766910627168,0.19384593467522218
Brazil,0.7694367796381172,0.49024166224965965,0.4343834118001642,0.5762654725158233,0.6015177615647638,32892,0.15003298943297924,0.20100690956502976,0.23172134646100404,0.1854779076188813,0.21037636223647882
Brunei,0.7278002555366269,0.5416489210675752,0.46619463373083475,0.6629578364565588,0.5903428449744463,1187,0.14469339636397124,0.1940955763914218,0.2095268431715779,0.14355071393241803,0.19255013759716744
Bulgaria,0.7805052030882846,0.5336662190891799,0.5046995636119503,0.5871132650777666,0.5728921897728544,6074,0.14578858248756718,0.20485658592080738,0.2221108165864883,0.17029043118182763,0.20698698541768634
Cambodia,0.7136435487057894,0.5430250938549694,0.45979055522623985,0.6446477968780873,0.5815920766646908,1719,0.14151372233523257,0.1743682783363957,0.19006753497281043,0.1461635329369267,0.17778533775261593
Cameroon,0.7652567340067341,0.5447180134680135,0.452756734006734,0.6650883838383839,0.5655513468013468,199,0.13551069827916162,0.19753504554846754,0.21735344595956477,0.1627193817484111,0.19203800862825615
Canada,0.7340804603987109,0.561946923626606,0.5186017959487247,0.6542228128509137,0.5579209870061688,233612,0.16215175853269267,0.19077464518391118,0.22087424110010143,0.16323989051124504,0.20714542126783891
Cayman Islands,0.7395251396648045,0.6108007448789572,0.4953445065176909,0.68237895716946,0.5039571694599627,182,0.16675989757912865,0.1906009772961789,0.20186023736737785,0.16992071735127995,0.23146164174854506
Chile,0.7696737915618889,0.5281607991058955,0.4534262363788768,0.6104323833473037,0.574196702989662,6107,0.14771044527455066,0.19996649447117643,0.21982211903574345,0.17133168123010933,0.2015164215853757
China,0.7023201144726083,0.5445753270645952,0.5146412510220768,0.6307768635868084,0.510846790678659,10131,0.15267158736434086,0.16665885171481973,0.18716591809315988,0.134676340352764,0.18891539862596565
Colombia,0.7598043893129771,0.5482983460559796,0.4895356234096692,0.6301553223070399,0.5506308312128922,8066,0.14797005210214678,0.18642397440466885,0.20985639544442183,0.16286529972285224,0.1995376799467377
Costa Rica,0.7720701917130488,0.5474644403215831,0.49711077612863325,0.6305755256648113,0.5438021799628943,2208,0.15111113174616528,0.19481313889347482,0.22839660654380914,0.16915353906022482,0.20556863657241642
Croatia,0.7625377263581489,0.5387135311871227,0.5111208920187794,0.6143506874580817,0.5572141180415828,10195,0.1538340910203088,0.19706297611733292,0.228538937792392,0.17051752435005296,0.21259620986922584
Cuba,0.8002525252525252,0.5160353535353535,0.4702020202020202,0.6029040404040404,0.5752525252525252,168,0.1380966797427896,0.2240233083382636,0.2335956922149211,0.1710967532342897,0.2093798395517704
Curacao,0.7207364341085272,0.5459302325581395,0.4688953488372093,0.7009689922480621,0.5303294573643411,218,0.1464564136221667,0.17656428965333495,0.19676682472306894,0.15465590577081004,0.19449425685772512
Cyprus,0.7574838187702265,0.5657901833872708,0.5241909385113268,0.6160329018338727,0.5501348435814456,1590,0.151145045197069,0.19389858855764874,0.21068464109892018,0.1723015640027308,0.20690133884569292
Czechia,0.7653099005883546,0.4969162101846216,0.4563527084601339,0.5821997362548184,0.5899041387705417,8418,0.15465600278514316,0.20589330853476606,0.22857410218064803,0.17751921961310654,0.21341399927580068
Denmark,0.7357509078154658,0.5512696521416192,0.5381243810349097,0.6302650717999505,0.520322687133779,16615,0.16514577082310736,0.1934793023346046,0.22822290783009902,0.16904408719724456,0.21729823409024154
Dominica,0.7109848484848484,0.5378787878787878,0.43068181818181817,0.6590909090909091,0.578030303030303,55,0.16647628717042146,0.17324456254433632,0.20546069450968607,0.173210817985671,0.22503351165825955
Dominican Republic,0.7751801378446115,0.5495118003341688,0.47658208020050125,0.6526341896407686,0.5505299707602339,1639,0.1451192780146838,0.19686200432300446,0.22141985807781064,0.1683665630525409,0.2000754489082566
Ecuador,0.7529202898550725,0.5766811594202899,0.5200144927536232,0.6629057971014493,0.5305144927536232,2966,0.14815648731116468,0.1862850461019119,0.21441502906328475,0.16601539875543078,0.20149528208749418
Egypt,0.7372962510187449,0.5282413067101331,0.4889602010323282,0.6419366340668297,0.5926259847867427,12508,0.1503569511672487,0.19093431685951745,0.20560233893073468,0.16850272681154593,0.19191213775387322
El Salvador,0.7516595179738562,0.5569342320261438,0.4838133169934641,0.6534926470588235,0.555734272875817,847,0.1521716769769817,0.19552628950798903,0.21732807512351313,0.17006020169979008,0.19090291385913127
Estonia,0.7380866858237547,0.5337104885057471,0.49800646551724137,0.6017181513409962,0.5470246647509578,3566,0.15664564191708208,0.18814179980494808,0.2197007554799046,0.16983980631948573,0.21075080713534888
Eswatini,0.7496819338422391,0.5671119592875319,0.44974554707379133,0.7051526717557252,0.5154262086513994,134,0.16244625863530238,0.19042045520862025,0.19392259043351875,0.12618226377555905,0.19010982449008743
Ethiopia,0.755217901612574,0.5718003674219229,0.4786308430291896,0.6307154521330883,0.49549652990406207,1725,0.15294586714753453,0.2043985818975458,0.2032185397810287,0.1633457366824176,0.19839224471487157
Faroe Islands,0.7161223723723723,0.48986486486486486,0.48939564564564564,0.6539039039039038,0.5856794294294295,228,0.1795652664969037,0.19547146665247786,0.24473417412362014,0.16294080028945818,0.23386276009736295
Fiji,0.774364406779661,0.5521421845574388,0.44467984934086624,0.6451271186440678,0.5756826741996234,179,0.14336826281552928,0.17979382139092573,0.211854577951403,0.16574523796135218,0.2127672692990624
Finland,0.7594717140709184,0.5086572797895,0.47842401745812974,0.6066726183018002,0.5607993463642817,16373,0.15351949328204903,0.1983457306476183,0.2314765997812413,0.17316666917240076,0.2149655840319803
France,0.7624122020473736,0.5145866024060375,0.49973754016289323,0.6201776507509527,0.5678472689232609,22827,0.15354277348608417,0.195939490067266,0.2337973887335894,0.17133703845855575,0.20681271417865207
Georgia,0.7608276643990929,0.5287244897959184,0.504359410430839,0.5681235827664398,0.5871712018140589,3746,0.15057271160566946,0.19405659866921363,0.20451040326399414,0.16690261388905106,0.1873834936584085
Germany,0.7630550217262112,0.5299439672138739,0.493621543294203,0.6069345396590181,0.5537651369561694,44206,0.14908882620432667,0.1990474652690446,0.22905456248498485,0.16945385887671213,0.2158776802652833
Ghana,0.7393057503506312,0.6213183730715287,0.47098527349228614,0.6977705703599814,0.4897294296400187,1447,0.14416046242557046,0.19555821398929943,0.20431362129176792,0.1580699851650894,0.2060285004971622
Gibraltar,0.7302777777777778,0.5558333333333333,0.5108333333333334,0.6430555555555555,0.5438888888888889,82,0.17700526012554574,0.20819702748178773,0.2213384500249775,0.14930446434408137,0.2217147687653862
Greece,0.7671433040271329,0.5291086305113768,0.49791316803319174,0.583623514109783,0.5870562909545918,10321,0.1457220617647672,0.2005688772155229,0.22002453461048246,0.16978945577433194,0.20327304344463146
Greenland,0.7318672839506173,0.5570987654320988,0.4332561728395061,0.6570216049382716,0.5470679012345679,55,0.16469183273314983,0.18194447778470954,0.18556300447540777,0.1326728532986572,0.1984769537564785
Grenada,0.7574926900584795,0.548611111111111,0.48135964912280704,0.689875730994152,0.5427631578947368,118,0.1576206400516147,0.18114786366028632,0.22857708452249545,0.1533627982645905,0.2357485701875941
Guam,0.7241344605475041,0.5435118089103596,0.4894994632313473,0.6568370907139023,0.5939680622651637,633,0.14755551880411566,0.18385062807767097,0.20593246970442636,0.17414497031147372,0.18607053285989703
Guatemala,0.7535936573799644,0.5670445564117763,0.49661628136731867,0.6474634459592965,0.5430127445168939,1719,0.15070077393544706,0.18129855727904595,0.217519106853321,0.1631288396783863,0.1923497114089462
Guernsey,0.6712643678160919,0.5204022988505747,0.503735632183908,0.6337643678160919,0.5801724137931035,146,0.16625870508422566,0.19085332418562503,0.23335902436789935,0.13901185887635212,0.2143423200748618
Guyana,0.7462121212121212,0.5779428904428905,0.446435508935509,0.6907536907536908,0.5503593628593628,437,0.14958126893353033,0.19242799165482963,0.20469239004795053,0.1754423235540866,0.2278938215093767
Honduras,0.7246679023787457,0.5372451343836886,0.4825069508804449,0.6472235094223046,0.5628475440222428,1095,0.15759596765575404,0.17616341614114486,0.21648148829485964,0.16811129331209135,0.1980185589135098
Hong Kong,0.7084120271527892,0.5197954873086257,0.4823155599350377,0.6132004890421708,0.5625228098027408,18701,0.16062535568381672,0.18734321409002042,0.2069587487710353,0.15244920813141938,0.19636189818134772
Hungary,0.7677885903044371,0.5394570425259649,0.4834891973930899,0.5986928250453828,0.5779450495491474,11477,0.14897443046345368,0.19703339071279322,0.2329169106659417,0.17515093043641405,0.21189402529302448
Iceland,0.7480195858283433,0.5599582085828343,0.517371506986028,0.6493263473053892,0.5083115019960079,1352,0.16632585257034818,0.18966885531755315,0.23033700616924493,0.16529991555299986,0.21384284661357378
India,0.7616955306002796,0.5667342037613313,0.508934063951653,0.6593624002164795,0.5579380327425247,187244,0.1428816452964257,0.1958762266549638,0.20816541402598168,0.15259400198917747,0.1866935607041896
Indonesia,0.7406952021454419,0.5620293069561544,0.475329083319557,0.6202982357047079,0.582262219650631,74331,0.13829724575219537,0.18993778461285388,0.19888048138609607,0.14262826861520217,0.19082594385218185
Iran,0.7630411131470454,0.5386891128416552,0.4592924492288899,0.5750162238509696,0.5467390059551076,4479,0.14375642054106316,0.1968394920634619,0.21032735744742195,0.1628565166873889,0.1883458470248956
Iraq,0.7375315656565656,0.5076371352413018,0.43260732323232326,0.5897078423120089,0.5843153759820426,2411,0.14820006490250912,0.18642219788525685,0.19839678816174744,0.1731811046774522,0.18621475712457664
