Cluster,Latitude,Longitude,o,c,e,a,n,o_std,c_std,e_std,a_std,n_std,Count,City
0,32.44552603448276,-99.73834775862068,0.7231040564373897,0.5762419165196944,0.5312683715461494,0.6818783068783069,0.5477292768959435,0.1771168560363274,0.1947644428096961,0.2312183123654753,0.1727346911975238,0.2184544320408593,580,"Abilene, Texas"
1,41.08005683192261,-81.52948790810159,0.7388584117032393,0.5595480668756531,0.5072100313479624,0.6736415882967607,0.5679205851619645,0.1627259335041904,0.1844015161664777,0.2215504697376627,0.1627262681627871,0.2096537918241812,1654,"Akron, Ohio"
2,42.67435770953295,-73.78248483685222,0.7261983289357961,0.5732052550571679,0.5247086631486367,0.6776742524186457,0.5612906772207563,0.169419327393469,0.1904032872692832,0.2290744786169989,0.162710700492099,0.2155016037764609,1563,"Albany, New York"
3,35.08821478915662,-106.64609373493975,0.7497919916796673,0.5576963078523142,0.497549401976079,0.6599063962558502,0.5596073842953718,0.1658991249560712,0.1957617824377329,0.2238259511511825,0.1670776440179739,0.2188707896206,3320,"Albuquerque, New Mexico"
4,38.956575358674066,-77.19446431036096,0.7411295226991252,0.5522394200288551,0.5132989246526836,0.6459861856645727,0.5566193754529557,0.16138993042539299,0.1948194517949636,0.22664976303674622,0.16720292799164607,0.21436604974145698,33796,"Alexandria, Virginia"
5,42.14422361331311,-88.31468588622666,0.6813072028594328,0.5579994088567999,0.5336637574875294,0.671765566296784,0.5597304048828015,0.16337397954865754,0.1757377516950869,0.22312311051562492,0.15062491037633854,0.1982054297529263,2232,"Algonquin, Illinois"
6,34.13333320368017,-118.26916135758712,0.7593108683950823,0.5589214509078544,0.5223605118445095,0.653371439299173,0.5612878994481193,0.15947411158445177,0.19041328122120252,0.22253750595409846,0.16793207076110142,0.20781261663244785,28389,"Alhambra, California"
7,33.82154140324701,-117.81472459200819,0.7309491689151454,0.553447824303681,0.516105708879277,0.6646910201402791,0.5654866365639946,0.16087027421562536,0.1868563418348791,0.22211004929824119,0.16066085058604332,0.20551428642737077,26845,"Aliso Viejo, California"
8,33.012852500532716,-96.68795904809456,0.7237416222527633,0.5443357292643705,0.5049378182283877,0.6550749419609253,0.5605417428405364,0.16354300528870405,0.18983642503922152,0.22179600470967534,0.1665335183991853,0.21007396959543156,15934,"Allen, Texas"
9,40.6220509596929,-75.44377484206717,0.711502331596508,0.5677868455707547,0.5299323945617519,0.66989329469557,0.5685443775282564,0.1737608519398099,0.18494256693581315,0.2165210433295826,0.16384686558659206,0.20496120843052668,1883,"Allentown, Pennsylvania"
10,34.01509145116389,-84.14726397294415,0.7472235741624514,0.5605044241521661,0.5055226072249567,0.6602129725769433,0.547596405636447,0.15500296326612772,0.1940793691924574,0.22179530508303405,0.17061674052683293,0.20592050121951166,2830,"Alpharetta, Georgia"
11,35.18881343719571,-101.86606426484909,0.6599635882158226,0.5464457133399537,0.5133027143330023,0.6486055941741146,0.5548866269447204,0.1837225259253031,0.1774417370756808,0.2193614684955604,0.1666358186980166,0.2106476791925138,1027,"Amarillo, Texas"
12,42.0413477631579,-93.62924355263158,0.727314181486548,0.5698244414044688,0.5205198358413132,0.6589147286821706,0.5402416780665755,0.1603527571023644,0.1875010237333075,0.2287236721751957,0.1590077985809412,0.2109010993415672,760,"Ames, Iowa"
13,42.36550361842105,-72.46763190789474,0.765483276643991,0.5542800453514739,0.5236323696145124,0.6452310090702947,0.5780541383219955,0.1553565521454644,0.2041394716896279,0.2257622723996348,0.1559178243265475,0.2183312986711661,608,"Amherst, Massachusetts"
14,61.18923438789546,-149.8639704264099,0.7439805027014329,0.5549536058256989,0.5143440216114634,0.6635981912144703,0.5424594785059902,0.1694184851520135,0.1948252200860008,0.2226951478634389,0.1624105959665146,0.2172627573386314,1454,"Anchorage, Alaska"
15,34.52494928315412,-82.64710465949821,0.7181372549019608,0.573106828938472,0.5373985801217038,0.6885141987829615,0.5482167004732927,0.1701729946426221,0.1927002280874156,0.2358599793238988,0.1585752670276482,0.2065435222943042,558,"Anderson, South Carolina"
16,42.25393716979363,-83.68052732745082,0.7577148545103725,0.5665108995139285,0.5157048615284832,0.6591482378657432,0.5501296214039226,0.16303340991700635,0.2012496628602743,0.2271365650406264,0.16218050317751215,0.2185366397610521,2414,"Ann Arbor, Michigan"
17,38.98048429172511,-76.52484992987377,0.720173860911271,0.5892086330935252,0.5551858513189448,0.6735611510791367,0.531294964028777,0.1665512471033013,0.1860479940910878,0.2206782221094579,0.1588389912636288,0.2096913990502077,713,"Annapolis, Maryland"
18,35.753795245409535,-78.8309337707499,0.7445727600892975,0.5593247367377114,0.49319786391677983,0.6498559393682403,0.5656411448826721,0.16391107560850066,0.20293041767816888,0.23129462265505624,0.1645014444721754,0.2108931761711596,1636,"Apex, North Carolina"
19,44.71006612332263,-93.2333451766325,0.6870394882854396,0.5529192369774604,0.5228582336819805,0.6796886121802779,0.5638812173778873,0.17083155989222643,0.18395426799719455,0.22292081686006746,0.1520539748807955,0.19570951634638245,1787,"Apple Valley, Minnesota"
20,44.223975362490094,-88.43564001417968,0.6898154982263858,0.561803035379403,0.5272513512198573,0.6707611696787148,0.5630444409797781,0.1738572136798025,0.18412797920416,0.21576055814873846,0.15706638134225803,0.2052818721472439,1598,"Appleton, Wisconsin"
21,32.716704567474046,-97.11232387543252,0.7396986469864698,0.5430504305043051,0.4983394833948339,0.6691420664206642,0.5685424354243542,0.1622249291081128,0.1962409643342074,0.2261204480891679,0.1645509309377207,0.2148185996503981,1445,"Arlington, Texas"
