State,o,c,e,a,n,Count,o_std,c_std,e_std,a_std,n_std,State_Abbrev
Alabama,0.7083450243172466,0.5702394313505424,0.5363764964459409,0.6722315750093528,0.545285026187804,3564,0.17278873229262795,0.19296194974866657,0.22900772768449768,0.16563500176927878,0.21016290478158564,AL
Alaska,0.7494884672619048,0.5411086309523809,0.5074869791666666,0.6562034970238095,0.5623604910714286,448,0.17418361025213946,0.1907057711001637,0.22929827381805523,0.17162076214919084,0.2120267772757389,AK
Arizona,0.7298474533535049,0.5588155572365103,0.5181101865859808,0.6687594553706505,0.5540784165405951,6610,0.1684513311159781,0.18956444798274286,0.22255469515564064,0.16443515169748033,0.21337765794537691,AZ
Arkansas,0.6937236071379921,0.5447231303637107,0.5183983789674431,0.6555476093175316,0.5722823865958316,2447,0.17555420047722836,0.18990740244038185,0.227731486898534,0.16787439338065308,0.19952838443223633,AR
California,0.7313632346442775,0.5500386654882898,0.5203311422889969,0.6576985749005745,0.5621377411989984,45260,0.16332961298609128,0.18707500804598703,0.22070735084653872,0.16057865335127097,0.2055426176349409,CA
Colorado,0.7376929914280148,0.5642107442041692,0.5274297438145333,0.6655129797389441,0.5409178355737385,6844,0.1664024733746942,0.18928953494280532,0.22093604431656172,0.15764046787527092,0.21162296931469748,CO
Connecticut,0.728624062165059,0.5558346730975348,0.5309954448017149,0.655171489817792,0.5662513397642015,3110,0.1710569874037375,0.19032941947263982,0.221441209437881,0.16232361933576728,0.20566370243123097,CT
Delaware,0.6974656810982048,0.5536782822949666,0.5139255543822597,0.6730024639211546,0.5683958113340374,947,0.16892832410092526,0.18418094337503998,0.21736700172373624,0.15627629849561012,0.19915723393011128,DE
District of Columbia,0.7510221131968146,0.5673883674630261,0.5494525028441412,0.6536813850967008,0.5409467434584756,2344,0.1644351054937079,0.18893690490093654,0.2247483801326723,0.1651629419559614,0.2179943586427638,DC
Florida,0.7323655872327239,0.5587738439555142,0.5310466377440347,0.6613910839100644,0.5480440639741073,19362,0.16529569336394373,0.18987312487204938,0.22519567639299598,0.16526632343464706,0.21086477544355217,FL
Georgia,0.73991488299878,0.5590181509001516,0.5213393220213671,0.6670917895826403,0.5502661639126095,9017,0.1659212360164559,0.19258459421770346,0.22629534227572698,0.16770071289586053,0.213076781614515,GA
Hawaii,0.7102546714888487,0.5599758890898131,0.5122940526421539,0.6761728953184649,0.5430229053646776,1659,0.16786929901617595,0.1785409358945826,0.21886771027736301,0.1550838415735777,0.20204948780220727,HI
Idaho,0.7258944153577661,0.5600761101415552,0.5299835175489626,0.6738292611983712,0.5426483420593369,1719,0.17035890657105307,0.18644385932016821,0.22400628278293985,0.15890363332524587,0.20987809087429118,ID
Illinois,0.7195347365616466,0.5588489975354692,0.5320291858167366,0.6655995359577256,0.5577527254157507,15013,0.1679893445334986,0.18606757758060843,0.2202842115725347,0.1619533570652598,0.20407041848983087,IL
Indiana,0.7078848142066533,0.5525679620507207,0.5136380222587119,0.6630214985100042,0.5642142553062094,5481,0.17246680710856746,0.1915364728081823,0.22836261380650444,0.1627386510676381,0.20655258749717373,IN
Iowa,0.6725550637580355,0.563013752766361,0.5336771524923596,0.6607453367056592,0.5554523658973548,3163,0.17542953845197112,0.1794654186988193,0.21691673247688434,0.15902897298278718,0.20151926807490433,IA
Kansas,0.7126709307454786,0.5595684458167917,0.5213020144096456,0.6708572268784002,0.5513711218938391,2267,0.1745039039402574,0.18413035684942075,0.2267391001124861,0.16522983472697053,0.20519205231940768,KS
Kentucky,0.7104259156492786,0.5531122826489087,0.5227524972253053,0.6643312985571587,0.5765757954125046,3604,0.17346579146460178,0.18763975189384105,0.22380814126849347,0.16555665572870745,0.20664147337833025,KY
Louisiana,0.7248267112266369,0.5564194207203862,0.5189998762223048,0.6645082931055823,0.5604963485579899,2693,0.17170601190162604,0.1914923391732813,0.22425398052077786,0.16759185491728515,0.21011500207355444,LA
Maine,0.7219932844932845,0.5353518009768009,0.5147855616605617,0.6564789377289377,0.5695779914529914,1092,0.16919030455794043,0.19231568005813748,0.2242514944092924,0.16319919298297814,0.21518942656028833,ME
Maryland,0.7346593980897459,0.5487287499249114,0.5168386195710939,0.653871568450772,0.5658339340421698,5549,0.16841936539371039,0.18911967059233173,0.2210678502054633,0.1634223438755261,0.2084624491742648,MD
Massachusetts,0.7340719251037112,0.5584753522442726,0.5381559031281534,0.6566225660574804,0.5594283738834698,8919,0.16562553700070098,0.1897255722346541,0.22054501586824435,0.16261253969599215,0.2064106255650663,MA
Michigan,0.7139535616537022,0.5525064822817631,0.5288303983002017,0.6639949762316335,0.5641003133102852,9256,0.17186585160489276,0.18957982459255915,0.22015308329257346,0.1638437061574001,0.20569990398882648,MI
Minnesota,0.707455508280721,0.5525179568121512,0.5203472412846555,0.6674272577545979,0.559712119132583,7286,0.17191221647188967,0.18339083290009928,0.2175969002922416,0.15368239232078867,0.2025384476100716,MN
Mississippi,0.7205947136563877,0.5708333333333334,0.5165932452276065,0.6844346549192365,0.5421806167400881,1135,0.171589699278668,0.1874146549511446,0.2227194079751532,0.1706251466962089,0.21283290294948884,MS
Missouri,0.7219181459566074,0.5604113834883065,0.5311425753733446,0.6679628064243449,0.5586573682727529,5915,0.17025036088261294,0.1900243615661086,0.2267220894031645,0.1638970612057022,0.21081471076374514,MO
Montana,0.7280930826369546,0.5545496750232126,0.5170322655524605,0.6623433147632312,0.5630512999071494,718,0.17227653007394242,0.19536496343407547,0.23330040779271816,0.1535709607896659,0.20100201484360486,MT
Nebraska,0.7005918783317654,0.5472522734399498,0.5092015522107244,0.6667842583882094,0.5711821887739102,2126,0.1746053229321193,0.1858501365164821,0.22603441758447512,0.16041455452338094,0.2087646338828919,NE
Nevada,0.7233090350094218,0.5485284637508678,0.5089321134582961,0.6628669542794804,0.5686241693940295,3361,0.16237073304150876,0.1859116168564146,0.21719293712276067,0.16051841643293416,0.20447682022804944,NV
New Hampshire,0.7220417714445376,0.5710743224364347,0.5301585638446493,0.662929589270746,0.5657481139983236,1193,0.16735611606903097,0.1950095948782618,0.23246446295632017,0.16415234674184415,0.21068219441974023,NH
New Jersey,0.7208483213429256,0.5545738409272581,0.5314848121502798,0.6517136290967227,0.5645633493205435,8340,0.1681664559431662,0.18720396943269882,0.2234956409659262,0.16844094294611167,0.204010416189252,NJ
New Mexico,0.7393684603886398,0.5502989536621824,0.5102204783258595,0.66296711509716,0.5619207772795216,1115,0.17308013787849366,0.19558401898378236,0.22578106411521032,0.16769306309425086,0.2163030316428765,NM
New York,0.739145001891043,0.5606469833752652,0.5292865012415108,0.6537613257033859,0.5585524476674395,20271,0.16644855355727114,0.19071459099250518,0.2232735811879595,0.16502454827173582,0.21149473946814001,NY
North Carolina,0.7118002002327029,0.5501833211570203,0.5236135914711691,0.6593980842600861,0.5604046594691128,12319,0.17003393017776444,0.18659705186650485,0.22103620508694458,0.16408182722705345,0.2045476858817495,NC
North Dakota,0.6753316749585406,0.5553482587064676,0.5139510779436153,0.6682421227197347,0.5623548922056384,1005,0.1902808407574293,0.18830358359711338,0.22400231429282716,0.1660355080209545,0.205917423934597,ND
Ohio,0.7146722047597664,0.5660791797635085,0.5295352492141895,0.6717501122586439,0.5559665469241132,11135,0.17117379211498193,0.19018564672926477,0.22501806576292255,0.1642883158318981,0.20938813053565064,OH
Oklahoma,0.7319904618473896,0.548828125,0.5151700552208835,0.674777233935743,0.5716224272088354,2656,0.16711490494668035,0.19099165551269168,0.2295062304214897,0.16650055297147753,0.21326773693986317,OK
Oregon,0.7365112342259157,0.5421475838719606,0.5128616497383811,0.6626192674669129,0.5673784241305017,5415,0.1669089182719499,0.18890740365965386,0.21982219967268024,0.15744451728538802,0.21199888361112093,OR
Pennsylvania,0.7161678241654171,0.559408952200563,0.5307115328966406,0.662217530844711,0.565541722568595,12671,0.1703144184955598,0.1889904897819367,0.2238599907901325,0.16258317530037036,0.20642674468360514,PA
Rhode Island,0.7275406504065041,0.5843665311653117,0.5435128726287263,0.6694444444444444,0.5552337398373983,1230,0.1657599540690109,0.1826232863529772,0.22007633751234978,0.16529017513877928,0.20109244493114903,RI
South Carolina,0.720868544600939,0.5617429577464789,0.5305105633802817,0.6701819248826292,0.5499647887323944,3550,0.17139295972991583,0.19221619478118968,0.22309490073131324,0.16574245712240443,0.21059017278226078,SC
South Dakota,0.6919799912049253,0.5505167106420404,0.5017864995602462,0.6596580914687774,0.5888027704485488,758,0.17930138618057634,0.18000552085364904,0.22791533454148255,0.16262579782181094,0.19932752527793815,SD
Tennessee,0.7233579785022863,0.5515321574915375,0.5196753073222875,0.6615223588099056,0.5609374072094542,5613,0.17307045035919336,0.19068719620143418,0.2245752606256677,0.1672257638226835,0.21151778608316585,TN
Texas,0.7214635919906124,0.54797861583402,0.518193861883005,0.6557826504881032,0.5615754437869822,26702,0.16986868333851002,0.18994845957371861,0.22362915734919353,0.16685596680299192,0.20894401072351387,TX
Utah,0.7153786307053942,0.5538374538958045,0.5336560627017058,0.67527158252651,0.5463779391424619,5784,0.1708178706297605,0.18900421888924343,0.22800104884069725,0.15971526018248594,0.2091667661786906,UT
Vermont,0.7397632757517595,0.5552223288547664,0.5321097248880359,0.6587092130518234,0.5726167626359565,521,0.16986664404716756,0.19136512621821847,0.22210372292822558,0.17173044232441545,0.2025811301140921,VT
Virginia,0.7262089046144773,0.5542127377266696,0.5335802742149491,0.6609612265959015,0.5556446262715613,11305,0.16575871738419587,0.19045663858117548,0.22291028079188177,0.16445608013263002,0.20674337857226543,VA
Washington,0.7374952592745828,0.5407831678389188,0.5102141083988415,0.652950886084678,0.5639803992552751,9668,0.16589549630308842,0.19148101961954409,0.2250368338032028,0.1600703751223231,0.21239089680964846,WA
