State,o,c,e,a,n,Count,o_std,c_std,e_std,a_std,n_std,State_Abbrev
Alabama,0.7168460749853545,0.5711897090412029,0.5279547451669596,0.6733938683850811,0.5509312146065222,17550,0.17111853509013591,0.19260828227313004,0.22994877403676722,0.1666550821451736,0.21246113883194426,AL
Alaska,0.7421467188665175,0.552207618692518,0.5032391871737509,0.6595746333581904,0.5504132488192891,2760,0.16907178811515372,0.1939198432926607,0.22476039155315108,0.16140951383808086,0.21563470089456963,AK
Arizona,0.7357944697215902,0.5607531686707832,0.5125812479688008,0.6645623442747264,0.5534767359982667,31650,0.1652432211691159,0.19172294183600877,0.2272237839434355,0.16479304479982068,0.21471449208308296,AZ
Arkansas,0.7083629707112971,0.5591718967921897,0.5154689679218968,0.6668444909344491,0.5652963737796374,12337,0.1719077711956675,0.18841071905138343,0.2280604831595152,0.16658547828963988,0.2064703066910181,AR
California,0.7433178670257996,0.5553075116447861,0.5148911337426006,0.658001069862163,0.5593481664069835,209431,0.16162347427387,0.18927591028998994,0.2226885962349322,0.1622539521262336,0.20984857158168385,CA
Colorado,0.7451004708878753,0.5664111088076763,0.5184258326916623,0.6613414134533753,0.54890829532666,34955,0.16388901397530256,0.18897706074571233,0.2254103225187588,0.16118632132974903,0.21360004669922145,CO
Connecticut,0.7335239190743623,0.5641676252340032,0.5256247603581659,0.6593223492793829,0.5611368608611318,15299,0.16675990661509388,0.1917573892927836,0.2226844007475888,0.16475351793815984,0.211791496512026,CT
Delaware,0.7193587997358428,0.5627424880303781,0.515617261020307,0.6643398134389962,0.5548642067029882,4148,0.16650017091898137,0.19146034849602112,0.22467584208603528,0.1589546143389499,0.21037455586927,DE
District of Columbia,0.7619574674992322,0.5732781417408811,0.5394615620841438,0.6525446139147644,0.5414470092469376,9989,0.1583666038546018,0.1930003433256159,0.22622098552196682,0.16263886083998252,0.21850752851700636,DC
Florida,0.7424333493215021,0.5647071167336172,0.522406669064892,0.6660488738333633,0.5489507764254452,86723,0.1630796507776329,0.19314815790228398,0.22755334424643742,0.16752588206595057,0.21516432976633806,FL
Georgia,0.7403186654271253,0.5650346038632372,0.5181919911854835,0.672152067623868,0.548348999758978,50080,0.16441138944526515,0.19276684300417943,0.22719200801846715,0.16741151992274042,0.21429886097938108,GA
Hawaii,0.731340423493341,0.5647995113538373,0.5146983089010252,0.6727088722813068,0.5449392785283127,7137,0.16320916164537771,0.17909971311856526,0.21748639383982796,0.15841062360081234,0.20582301643747497,HI
Idaho,0.7246060048314736,0.5586870662218644,0.5192875493692243,0.6658110932167645,0.5491391541086699,8893,0.16835780751852056,0.18630306108981748,0.2283027360720259,0.1617362958882671,0.21222112062923018,ID
Illinois,0.7252672863546182,0.563345641364783,0.523712861586695,0.6675799715874299,0.5569506698998212,70386,0.16668159582194025,0.18825096892687218,0.2235820965573552,0.1616026148910786,0.20867479137337666,IL
Indiana,0.713108905330925,0.5586623187902366,0.5114269255708397,0.6677623199481266,0.5646985433745542,29767,0.17152687984326725,0.19013718044740677,0.22656512055685515,0.1635789756562618,0.21106705198940454,IN
Iowa,0.682828571099119,0.5604849868548498,0.5173884968405517,0.6621148701628154,0.560306258936396,14750,0.17459597758682308,0.18109097387004983,0.22000209853104172,0.16118009832863409,0.20416207853004567,IA
Kansas,0.715551763899277,0.5595861381201696,0.512489092495637,0.6680203658688606,0.559184897781102,10913,0.17093926518901909,0.18771585602422036,0.22750106218974253,0.16285773455713606,0.20757235663083876,KS
Kentucky,0.7174134691350116,0.5554363376251787,0.5112954540601712,0.6698588602054106,0.5778350735592425,16065,0.17087549058228127,0.18981581540443127,0.22711215876747312,0.16788732983109592,0.2123174106685008,KY
Louisiana,0.736009485094851,0.556969081054447,0.5179831855136733,0.6671809559004681,0.561839430894309,14022,0.16774002001208074,0.1939749906999,0.22799479877008735,0.16912107575765828,0.2127856136741969,LA
