Cluster,Latitude,Longitude,o,c,e,a,n,o_std,c_std,e_std,a_std,n_std,Count,City
0,35.10745652173913,-106.6165608695652,0.751318101933216,0.5520650263620387,0.5081649091974223,0.6509226713532513,0.5514792032806093,0.1732438164997223,0.19744942987119404,0.2265907074137513,0.1654080722793402,0.2160537138405849,13087,Albuquerque
1,38.87314096385542,-77.0579,0.7443987462184686,0.5618213591228973,0.5369091311635402,0.6544199256148618,0.5477496790385535,0.16433355083831058,0.19204173951791337,0.22445642174999617,0.16355918657410995,0.21420895852795765,157790,Washington
2,38.9406,-84.3943,0.7109311328443357,0.5550122249388753,0.5295436022819886,0.6549001629991851,0.5578901792991036,0.16863648957846275,0.18934578774228927,0.21445887089052837,0.1552554298126333,0.19972652677366368,818,Alexandria
3,31.295319999999997,-92.46994,0.7109311328443357,0.5550122249388753,0.5295436022819886,0.6549001629991851,0.5578901792991036,0.16863648957846275,0.18934578774228927,0.21445887089052834,0.1552554298126333,0.19972652677366368,4090,Alexandria
4,40.2532,-85.6712,0.7109311328443357,0.5550122249388753,0.5295436022819886,0.6549001629991851,0.5578901792991036,0.16863648957846275,0.18934578774228927,0.21445887089052837,0.1552554298126333,0.19972652677366368,818,Alexandria
5,45.8827,-95.3783,0.7109311328443357,0.5550122249388753,0.5295436022819886,0.6549001629991851,0.5578901792991036,0.16863648957846275,0.18934578774228927,0.21445887089052837,0.1552554298126333,0.19972652677366368,818,Alexandria
6,32.799621649484536,-97.01665154639176,0.7262044402582303,0.5483421750242257,0.5178691824428402,0.6530054109377421,0.5631019328191265,0.16748036686344828,0.19004913783702373,0.22354608886999475,0.16699554668313898,0.2081371222756285,187902,Dallas
7,34.8676,-96.4111,0.6756702196382429,0.5224967700258398,0.5263000645994832,0.6372900516795865,0.5854893410852713,0.16567167466148147,0.1722478338383977,0.21215767085284992,0.16114582691552426,0.18787228445326765,2580,Allen
8,38.6527,-96.1784,0.6756702196382429,0.5224967700258398,0.5263000645994832,0.6372900516795865,0.5854893410852713,0.16567167466148147,0.1722478338383977,0.21215767085284992,0.16114582691552426,0.18787228445326765,2580,Allen
9,35.200863636363636,-101.84785454545454,0.6083192567567568,0.5260768581081081,0.5286458333333333,0.6389358108108109,0.5554265202702703,0.17523803350253345,0.16293566572998788,0.2121214231406115,0.16685847172343476,0.201878928805356,6512,Amarillo
10,42.36458103448276,-71.09361896551724,0.748417696972557,0.5638509077948668,0.543712477021536,0.6571087222142732,0.552805079002237,0.15905741250776784,0.18549832588988832,0.21688466559801378,0.15598816508874697,0.2024502459065794,92110,Boston
11,48.19085,-122.11930000000001,0.7514813769751693,0.5555633935289692,0.5240782543265613,0.660035741158766,0.5534001128668171,0.16033237310731993,0.19846048250015913,0.22701168080687423,0.16413185978529957,0.21361474221219542,1772,Arlington
